Title,Date,Description,PicLink,Category,LiveLink,Tags
Sleepy Bee Menu,May 2020,"Restaurant owners wanted an interactive way to engage with their menu especially during Covid-19, where physical menus are out of the question.  They can update the menu anytime through a live back end.",sbmenu.gif,frontend,www.sleepybee.com/menu,Javascript | d3.js | PHP | CSS
Cleanlites Order Form,May 2020,"This is a very complex order form that does not transfer easily to a computer setting.  In line with helping the company integrate with their CRM software, we worked to make this order form accessible and extensible.",cleanlitesorder.gif,backend,http://albertsigman.com/CL-OrderForm/current.html,Javascript | React | REST | PHP 
Covid-19 Data Viz,April 2020,"Since the outbreak of Covid-19 NY magazine has been tracking sentiment. Using a combination of node.js, a little Python and mostly vanilla javascript, we vizualized the data in compelling ways. ",covid19.gif,frontend,http://www.albertsigman.com/visualization-project-001/index.html,Javascript | Python | d3.js
Flashcard Study App,April 2020,This was a capstone project for my tech bootcamp.  We made an interactive game that builds and stores study decks and cards.,cards.gif,other,http://random-access-cards.herokuapp.com/,Java | Javascript | REST | HTML/CSS
Custom Pre Loader,October 2019,Using adobe after effects and my own branding I made a custom .gif preloader for my website.,preloader.gif,creative,http://albertsigman.com/,After Effects | Adobe | Javascript
Lighting Style Quiz,January 2020,This quiz was made for an application I am working on that brings lighting designers to your house without needing in-person consultations.  ,quiz.gif,frontend,http://www.albertsigman.com/digital-playground/style-quiz/,Python | Django | Javascript | jQuery
JS Drum Machine,Februay 2020,I am trying to learn everything there is to know about the Javascript engine.  Part of this was having some fun with the audio buffer.,drumkit.gif,music,http://www.albertsigman.com/digital-playground/drum-machine/,Javascript | Music
